Landmark Latitude,Landmark Longitude,Distance,Landmark Name,Property Type
13.0145165,77.5678632,1.6178856722287562,,financial
13.014655,77.5678658,1.603043178149175,,financial
13.0476857,77.5742994,2.150073720513591,Big Bazaar,grocery
13.0383199,77.5646766,1.358886953971927,,fuel
13.0275857,77.571661,0.10909072658762904,,financial
13.0322135,77.5698943,0.48007757055832134,Indian Oil,fuel
13.0425174,77.614002,4.800521891117597,Hotel Garden,food service
13.0376617,77.5352197,4.123940027579989,,financial
13.0492109,77.547547,3.5204973584098904,Kamat Nandanvan,food service
13.0047512,77.5650939,2.7443169834122467,State Bank of India,financial
13.0056248,77.5622366,2.7557336778977337,Axis Bank,financial
12.9985927,77.5687751,3.34153311409781,The Malleshwaram association,bar/club
13.0483161,77.5520608,3.0956189627135244,Ekadanta Temple,place of worship
13.0483946,77.5426609,3.8832024036266652,Dosa Camp,food service
13.0151185,77.5681179,1.5458864885605912,Centre for Product Design and Manufacturing (CPDM),education
13.0132383,77.5686174,1.7350598160277049,CiSTUP,education
13.0155209,77.5681206,1.5028869263595717,Interdisciplinary Centre for Energy Research,education
13.0158581,77.5683888,1.4587331961443564,Interdisciplinary Centre for Water Research,education
13.0164088,77.5682496,1.4043762394787525,Organic Chemistry,education
13.016856,77.5682738,1.3561704784084523,Inorganic and Physical Chemistry,education
13.0173833,77.5659752,1.399876825736282,Central Purchase and Stores,education
13.0138091,77.5668973,1.7247650609976073,Physics,education
13.0171773,77.5648502,1.4809582983333425,Insdoc,education
13.0169379,77.5645125,1.5230223833259247,Canara Bank,financial
13.0186339,77.5709242,1.1009743988855654,Electronic Systems Engineering,education
13.0175447,77.5700198,1.2354210730481225,Joint Advanced Technology Programme,education
13.0185648,77.5645301,1.3730589967732174,Amenities Hall,education
13.018047,77.5649882,1.39157774221464,Tata Memorial Club,education
13.0362217,77.5663481,1.063691267286376,Chikkamaranahalli,transportation
12.9907411,77.5577577,4.47363905616694,Navarang Bar,bar/club
12.9955258,77.5717703,3.663260635227329,Hallimane,food service
12.9931291,77.5715961,3.9299664817405,New Krishna Bhavan,food service
12.9932258,77.5717309,3.91903882464024,Sri Krishna Lodge,lodging
12.9931208,77.5710734,3.932083219695535,Sampige Theatre,cinema
13.0055704,77.5713507,2.547471189597626,Adiga's,food service
13.0024438,77.5838636,3.1620532749881765,Pav Bhaji,food service
12.9967798,77.5404068,4.919932681731176,Indian Oil,fuel
12.9966627,77.5400464,4.956544531476073,Bharat Petroleum,fuel
12.9965228,77.5423272,4.79817516607965,St Charles High School,education
12.9974545,77.5403023,4.874474132326373,Fresh@Heritage,grocery
13.0361795,77.5317658,4.452746612997046,Fair and Fair,grocery
13.0452298,77.547996,3.2080518593357303,Jalahalli Village,transportation
13.0468252,77.5494119,3.194809127036328,Ganesh Upahara,food service
13.0492252,77.5474051,3.5331636141188296,Nilgiris,grocery
12.9990578,77.5695202,3.282265846972263,State Bank of India,financial
13.0281613,77.5732067,0.12468982492394197,Polar Bear,cafe
13.02807,77.5729018,0.0975406492903883,Hav Mor,food service
12.9972514,77.541656,4.788301781379127,,grocery
13.0493097,77.5928667,3.2297446853423653,Canara Bank,financial
12.9971601,77.5974721,4.435750052394951,Formula III Bar,bar/club
12.9932643,77.5957899,4.680931525802444,Nandhini Andhra Hotel,food service
13.0045673,77.5710992,2.65992764352357,Cafe Coffee Day,cafe
13.0042882,77.5710889,2.690981847570813,Reliance Fresh,grocery
13.0064539,77.5780313,2.530876326906581,Stella Maris School,education
12.9930635,77.5959522,4.70924631603432,Pai Vihar,food service
13.00559,77.570496,2.5499253847423353,HOPCOMS,grocery
13.0061977,77.5693737,2.4939745522688765,Reliance smart@Malleswaram,grocery
13.0096888,77.5624992,2.3329211180847413,Bharat Petroleum,fuel
12.99695,77.5679373,3.5336172664527004,ICICI Bank,financial
13.0045524,77.5711963,2.661175376137023,Papa John's,food service
12.9901236,77.5722985,4.263838256234637,Vishnu Sagar,food service
12.9898878,77.5726957,4.290489423171243,Sangeeth Bar and Restaurant,bar/club
12.9940976,77.571267,3.822960159538125,ICICI Bank,financial
12.9933312,77.57187,3.907194398887316,Corporation Bank,financial
12.9953279,77.5712934,3.6861276571605477,Kolkata Chaat,food service
13.0192135,77.5572955,1.9056109230921314,Emirates,food service
13.018555,77.558819,1.8125279617505918,State Bank of India,financial
13.0081521,77.5716854,2.259552254155005,Sri Ayyappa,place of worship
13.0034478,77.5673384,2.8296169808483302,Jayanti Apartments,residential
13.0045938,77.5669909,2.711855177080047,Maithree Apartments,residential
13.0397585,77.5555028,2.192848895605676,City Supermarket,grocery
13.0400303,77.5555993,2.2017937205676126,Spencers Daily,grocery
13.0436252,77.5536883,2.6111994513952577,Hindustan Petroleum,fuel
13.0460808,77.5460984,3.4306003512691547,Sharadambal Temple,place of worship
13.0466974,77.5440647,3.651281779254424,Raghavendra Temple,place of worship
13.0521546,77.5515881,3.4458418339548404,Bharath,food service
13.051811,77.5517989,3.4019231587978154,Kadamba Veg,food service
13.026313,77.5845772,1.3728032006311925,National Bureau of Agriculturally Important Insects,education
13.0489683,77.5440769,3.7962039340087665,Durga Restaurant,food service
13.0016893,77.5694475,2.991568906118016,Bank of India,financial
13.0016506,77.5694522,2.995803487356422,Bank of India,financial
13.0011737,77.5683395,3.0622878229334205,B. P. Indian,education
13.0041002,77.5713906,2.71074603373108,Udupi Sri Krishnarajathadri,food service
13.0457661,77.5416305,3.8202135238694104,Father Mathews School,education
13.0333714,77.5689251,0.6445715189405179,IndusInd Bank,financial
13.033237,77.5690007,0.6275630896287205,ING Vysya,financial
13.0330093,77.5691944,0.5949607696341074,Nandini Palace,food service
13.0330766,77.5694147,0.5891835470494492,Denizen,clothes
13.0330896,77.569359,0.5934369839342484,Beijing Bites,food service
13.033163,77.5691004,0.6148512387664526,World of Titan,watches
13.0331351,77.5691098,0.611679853716708,Van Heusen,clothes
13.0335167,77.5691031,0.6484267262045259,Bata,shoes
13.0332457,77.5692878,0.6123281157546827,Koutons,clothes
13.029151,77.5709378,0.14697656534580958,McDonald's,food service
13.0292165,77.5709225,0.15225074432792152,Onesta,food service
13.00654,77.5692833,2.457381325603646,Chung's,food service
13.0068052,77.5645334,2.5445284728021145,Reliance Fresh,grocery
13.0085194,77.5688573,2.2459066298359818,HDFC Bank,financial
13.0092653,77.5621798,2.3905213822038553,Vani Vilas,education
13.0077753,77.5637631,2.4719114665295487,Ganesha,place of worship
13.0218399,77.5349348,4.093149337398614,Sher-e-Punjab Dhaba,food service
13.0273219,77.5389577,3.592642050336241,,food service
13.0266571,77.5391304,3.5773501067972577,Raju Samosa,food service
13.0067269,77.5640344,2.570641723353775,Sai Chats,food service
13.0220281,77.5340657,4.182161661416187,Adarsh Dhaba,food service
13.0266169,77.5346987,4.0570023434317495,,financial
13.0055316,77.56985,2.562112530080447,UCO Bank,financial
13.0055316,77.569732,2.563360271320648,,financial
13.0098299,77.5623705,2.3251747920984642,Cafe Coffee Day,cafe
