Landmark Latitude,Landmark Longitude,Distance,Landmark Name,Property Type
12.9359565,77.5183096,3.4593889258741175,Rajarajeshwari Arch,attraction
12.9238284,77.5763354,4.919976916120355,Citibank ATM Jayanagar 7th Block,financial
12.8986538,77.5578162,2.844135502787846,State Bank of India,financial
12.8989528,77.5575938,2.80899589756731,Karur Vysya Bank,financial
12.8986874,77.5577817,2.8392305749187834,,grocery
12.8983313,77.5582799,2.904466617727121,Shop and save,grocery
12.9056992,77.5424892,1.0110481817321242,Veeranjeneya Temple,place of worship
12.9052725,77.5432875,1.108485572666002,Uttarahalli Bus Station,transportation
12.9181989,77.573292,4.4215386492379425,Ganapathi Temple,place of worship
12.9135232,77.5289628,0.7417699111094196,Kumaraswamy Temple,place of worship
12.9409932,77.544655,3.7837678980064546,More,grocery
12.9398244,77.5471352,3.756573124443913,Viviekananda Park,attraction
12.9394898,77.5451718,3.64421406806555,,financial
12.9382164,77.5417664,3.3981421186600076,Sri Sai Mandiram,place of worship
12.9410374,77.542039,3.7091991716282733,Nilgiris Store,grocery
12.9387161,77.5534116,3.9648870919904393,Udupi Upahar,food service
12.9386147,77.5434317,3.491284478339449,Ganapathi Sacchidananda Ashrama,place of worship
12.9381024,77.543378,3.435250557912992,Auden Public School,education
12.9341577,77.5392743,2.896056903943056,Kalabhyraveshwara Service Station,fuel
12.9408732,77.5471975,3.866866075463549,Sharadamba Temple,place of worship
12.9412393,77.547176,3.903696297423176,Mahaganapathi Temple,place of worship
12.9405791,77.5458127,3.7818584214201616,ICICI Bank,financial
12.9265852,77.5509047,2.7284739760821286,Big Bazaar,grocery
12.925511,77.5501686,2.586887934745509,Food World,grocery
12.9261046,77.5502503,2.6410184280008844,Anna Kuteera,food service
12.9236391,77.5534075,2.708242198904813,Eeshwari Theatre,cinema
12.9237141,77.5534616,2.7179913253702623,Shanthi Sagar,food service
12.9323436,77.5437984,2.849620436784267,Auden School,education
12.9380085,77.5496081,3.6889057061877,IBP Petrol Station,fuel
12.9444378,77.5546637,4.579538878951454,Srinagar Bus Station,transportation
12.9318576,77.5648659,4.249734430515266,Muneshwara Temple,place of worship
12.9095131,77.5502862,1.8021811495338518,Bangalore International Public School,education
12.9022641,77.4974982,3.9861681212879416,BGS Public School,education
12.8895751,77.5630383,3.8266837594816763,,financial
12.9040043,77.5734008,4.336582206482065,Pizza Hut,food service
12.8853969,77.5554477,3.5036033719452715,Shiva Bar,bar/club
12.8940827,77.5679951,4.058536022449016,Domino's,food service
12.8941977,77.5680809,4.061969414468578,ICICI Bank,financial
12.894203,77.5681238,4.066004546528195,Sri Krishna Upahar,food service
12.894433,77.5683437,4.077887723918172,HDFC Bank,financial
12.8910036,77.5646686,3.8922061528618492,Mobil Petrol / Gas Station,fuel
12.885794,77.5557036,3.489999910686352,Karanth Upahar,food service
12.9089347,77.5626077,3.135437573423506,Polar Bear,cafe
12.9083281,77.5639541,3.281499375548352,,financial
12.9075699,77.5640131,3.290010682405032,Udupi Swada,food service
12.9089138,77.5625218,3.1261084479097683,NJAC,cafe
12.9134732,77.5590565,2.801352713807616,Kadirenahalli Petrol Pump,fuel
12.9109843,77.5791221,4.931810024090476,Prasiddhi,food service
12.9119447,77.5581363,2.675264406717365,Prarthana School,education
12.9107281,77.5792052,4.939418215783241,Reliance Fresh,grocery
12.9113882,77.5747186,4.458041037513677,,financial
12.8886669,77.5411424,2.3688356355449685,Gubbalala School,education
12.9083213,77.5641425,3.301926894642602,,financial
12.9084259,77.5639762,3.2837785995038704,,financial
12.9019316,77.5611814,3.0740453388838858,State Bank of India,financial
12.8929689,77.5596739,3.3156886111917276,Insight Academy,education
12.8980464,77.5551298,2.6087879707296278,Devarakere Venkataramana Temple,place of worship
12.8988366,77.5572943,2.7841305216303276,Vinayaka Temple,place of worship
12.8830441,77.565967,4.514348172879153,Reliance Smart Point,grocery
12.9089389,77.5664343,3.550172177155608,Dayanand Sagar College of Engineering,education
12.932367,77.5414216,2.7632247566619856,Sri Mahadeshwara Filling Station,fuel
12.9256218,77.5502249,2.600014200301394,KFC,food service
12.9256318,77.5498709,2.5745171360797037,Dal Tadka,food service
12.9249194,77.4993889,4.131480681396092,"Kotak Mahindra Bank, RVCE Branch",financial
12.9267671,77.4973876,4.417246072468218,Hotel Dream Land,food service
12.9250272,77.4986893,4.204982815147224,Udupi Upahar,food service
12.9433773,77.5044892,4.988519147604452,Muneshwara Temple,place of worship
12.9377048,77.50855,4.222170989643959,Vice Chancellor's Lodge,education
12.9368003,77.5169615,3.6129249261373277,The Club,food service
12.9368996,77.5172029,3.6094665049417767,KC'S Club,bar/club
12.9360631,77.5177447,3.4995871238724536,KFC,food service
12.9360526,77.5179485,3.48772120907918,McDonald's,food service
12.9357964,77.5177929,3.4712313744995837,Big Cinemas,cinema
12.9358801,77.5176749,3.4856621607904725,Star Bazaar,grocery
12.9359062,77.5178788,3.4772433859628307,Brand Factory,clothes
12.9359271,77.5179968,3.4729892994280522,,financial
12.9314098,77.515069,3.232776313181388,Church Of The Holy Name Of Jesus,place of worship
12.9312478,77.5154648,3.192012410806567,ICICI Bank,financial
12.9286597,77.5134853,3.1178840021400998,Rajarajeshwari Vidya Shala,education
12.9262076,77.5151161,2.8003973535172597,Classic Polo Showroom,clothes
12.9247698,77.5175891,2.4976556784755184,Shri Nimishamba Devi Temple,place of worship
12.9217044,77.5204162,2.0397959868115207,Bramhi Aahaara,food service
12.9214078,77.5206736,1.9967406729007988,Beijing Bites,food service
12.920634,77.5205368,1.9475750594626118,Coffee Day,cafe
12.9209843,77.5202713,1.9952031604232725,Food World,grocery
12.9202209,77.5201908,1.9445804117500216,Ganesha Temple,place of worship
12.9136589,77.5244341,1.144328522374708,Kalabhairava Temple,place of worship
12.9133609,77.5248364,1.09017548345335,Gayatri Temple,place of worship
12.9141975,77.5293801,0.7695667299668361,Kaalikamba Temple,place of worship
12.9126035,77.5289754,0.67034788469985,Sri Shanmukha Temple,place of worship
12.9125086,77.5271968,0.8210019851541145,Swargarani,education
12.9081687,77.5373087,0.3975447933795375,Quality Nursing Institute,education
12.9061186,77.5418693,0.9325165930461411,State Bank of India,financial
12.9059935,77.5421849,0.9693446915897344,HP,fuel
12.9056118,77.5434456,1.1124157973858242,Government School,education
12.9048588,77.5442073,1.2179418214914257,St Anthony,place of worship
12.903508,77.5442237,1.2798377639599041,Vaishnavi,cinema
12.9064379,77.5443522,1.1835059689458365,Corporation Bank,financial
12.9099779,77.5508753,1.869197190487727,Masala,food service
12.9100302,77.5509021,1.8725470154950457,Masala,bar/club
12.9109528,77.5516022,1.9587120539138796,Domino's,food service
12.9221435,77.5599636,3.217574768574915,Devegowda Petrol Bunk,fuel
12.9284497,77.5733648,4.829770062556792,Namma MTR,food service
12.9414203,77.553445,4.223040491918835,Dragons,food service
12.9328395,77.5638317,4.229601994422731,SSM Public School,education
12.9257438,77.5498097,2.5791431891526124,Bank of India,financial
12.9296912,77.5519662,3.062851627622903,,financial
12.9296755,77.5519983,3.0637741115474615,State Bank of India,financial
12.9372141,77.568841,4.957955591763736,Syndicate Bank,financial
12.9370677,77.568849,4.948226039318684,Syndicate Bank,financial
12.9365631,77.567363,4.788762352300245,,financial
12.925977,77.5504903,2.648459269731692,Levis,clothes
12.927054,77.5506405,2.7474799256752878,Puma,clothes
12.9228555,77.5600873,3.2668743062282246,D Mart,clothes
12.9003434,77.5436207,1.422055441218997,Subramanya Temple,place of worship
12.9339482,77.5664867,4.53102523080629,Kamala Nehru Patashala (Emmanual English School),education
12.9333966,77.5660039,4.451976363260832,Sri Lakshmi Venkateshwara Provision Stores,grocery
12.9321898,77.5656194,4.337120558271647,Sharadamba Temple,place of worship
12.9343751,77.565952,4.515565239609922,Dattatreya Temple,place of worship
12.9327754,77.5660244,4.411455392803987,Abhaya Lakshmi Narasimha Temple,place of worship
12.9332872,77.5679132,4.609346129839418,Plague Ammana Temple,place of worship
12.9342938,77.5660221,4.5157479973112356,Balamuri Ganapathi Temple,place of worship
