Landmark Latitude,Landmark Longitude,Distance,Landmark Name,Property Type
12.9563674,77.6046266,3.3316714344314904,Haydon Manor,residential
12.9185225,77.6518418,3.293682498706602,ICICI Bank,financial
12.9189346,77.65183,3.2633997046886742,Karnataka Bank,financial
12.9187503,77.6518327,3.276683293545499,Angel Heart Montessori Play School,education
12.917181,77.6493619,3.1968281598453046,Bank of Baroda,financial
12.9212938,77.6635656,4.202256042340684,Gangothri Residency,lodging
12.9214046,77.6639051,4.2302335532082544,Ringview Residency,lodging
12.9174059,77.64853,3.1158964132262823,Priti Departmental Store,grocery
12.9316521,77.5907098,4.156292740543098,Canara Bank Holiday Home,lodging
12.9309141,77.5850854,4.7711612842288815,Citibank,financial
12.9330058,77.5836988,4.890009272624446,ICICI Bank,financial
12.9365346,77.627846,0.1406099698138897,State Bank of India,financial
12.9369025,77.5848426,4.740089629172526,Mahashakthi Enterprises,fuel
12.9285088,77.6007706,3.1777223237126466,Indian Oil Petrol Bunk,fuel
12.9275361,77.5894406,4.385854594815184,Advaitha Petrol Bunk,fuel
12.9333646,77.6230728,0.7585515693588906,Sukh Sagar,food service
12.935703,77.6156133,1.4202212472351428,Masjid-e-Mamoor,place of worship
12.9163076,77.6103158,3.0840569707731373,Udupi Garden,food service
12.9328185,77.5830433,4.962848576852319,Foodworld,grocery
12.9309193,77.5837775,4.911144367352145,Canara Bank,financial
12.9289702,77.5839921,4.9256721455350405,State Bank of India,financial
12.9353555,77.6148616,1.5067086366103943,ICICI Bank,financial
12.9356671,77.6144578,1.5447405683356785,Bharat Petroleum,fuel
12.9156177,77.6347321,2.5315929569559805,State Bank of India,financial
12.9604812,77.6385098,2.764687458167661,IDBI Bank,financial
12.9606568,77.6385011,2.782317950802244,Shanti Sagar,food service
12.9588137,77.6382484,2.5832861503164506,Family Mall,grocery
12.9591813,77.6382984,2.6228694452080457,Spencers Express,grocery
12.9595527,77.638381,2.66429741214281,More,grocery
12.9593353,77.6385869,2.651198855979701,Srinidhi Sagar,food service
12.9621752,77.6373877,2.8967730074934592,,grocery
12.9619513,77.6419064,3.0709451453760175,Nandhini,food service
12.9601353,77.6431187,2.9620714151480647,Axis Bank,financial
12.9559416,77.6412371,2.459910118257839,Pizza Hut,food service
12.9558995,77.6411692,2.45192303359073,Nandhana,food service
12.9782444,77.6407376,4.7098121456456585,KFC,food service
12.9602773,77.6373781,2.6980619939859407,Vijaya Bank,financial
12.9606833,77.6381838,2.771938089734951,Union Bank of India,financial
12.9613667,77.6346913,2.7267164204999395,Indian Oil,fuel
12.9600367,77.6452495,3.082225785763745,Kotak Mahindra Bank,financial
12.9600398,77.6452145,3.080283334904718,Citibank,financial
12.9651393,77.6383211,3.241311431180964,Bhagini,food service
12.9637134,77.6403936,3.1755758654807726,Subway,food service
12.956044,77.6119244,2.733398192739987,,place of worship
12.9543746,77.5930172,4.2821231431292635,Adyar Ananda Bhavan,food service
12.9498004,77.5865608,4.751610353891304,Lalbagh Glasshouse,attraction
12.9141893,77.5933299,4.621285126634971,Ragigudda Temple,place of worship
12.9344837,77.6130843,1.7138189564478017,Bob's Bar,food service
12.9215957,77.5857204,4.972974346188246,Ganesh Temple,place of worship
12.932868,77.5872561,4.5085190484160576,Ganesha Temple,place of worship
12.9584433,77.6608638,4.198163673091546,Food Palace,grocery
12.9782249,77.640632,4.704539963022382,Pizza Hut,food service
12.9754961,77.6412437,4.433923658546419,Cafe Coffee Day,cafe
12.9688559,77.6020522,4.5117544682912305,Konārk,food service
12.9697383,77.6003775,4.703631967285608,Old Madras Baking Company,cafe
12.9665538,77.6141032,3.5832042073509673,Hyderbad Biryani House,food service
12.9694218,77.6033897,4.470499667105357,Sacred Hearts Girls School,education
12.9233773,77.598919,3.5811219540697947,Maheshwari,cinema
12.9584099,77.6615017,4.253926422968782,Shri Mahavir Digambar Jain Temple,place of worship
12.9522306,77.5897955,4.507300798092095,,food service
12.9172203,77.5923138,4.535407541794043,Smart Bazaar,grocery
12.932679,77.6135844,1.7136514154173623,Hyderabad House,food service
12.9351086,77.611565,1.8638981705471176,McDonald's,food service
