Landmark Latitude,Landmark Longitude,Distance,Landmark Name,Property Type
12.8952509,77.6019087,1.8055258248275878,State Bank of India,financial
12.8772119,77.6025994,3.7915036200755425,,education
12.8984603,77.6010688,1.4372283465134428,Snack Corner,food service
12.894213,77.6025681,1.9354171897398476,Athicas Canteen,food service
12.8944356,77.6024475,1.908084476336875,Chai-Unchai,cafe
12.8973119,77.6015666,1.5744154416703495,,food service
12.8922129,77.5985137,2.089093745784417,Adigas,food service
12.9316521,77.5907098,2.423002325833192,Canara Bank Holiday Home,lodging
12.9309141,77.5850854,2.609512793896047,Citibank,financial
12.9330058,77.5836988,2.8863846982371073,ICICI Bank,financial
12.9365346,77.627846,4.320867525702204,State Bank of India,financial
12.9365895,77.5804447,3.4123139908951234,Bharat Petroleum,fuel
12.9369025,77.5848426,3.205764047071483,Mahashakthi Enterprises,fuel
12.9285088,77.6007706,1.9745835369665212,Indian Oil Petrol Bunk,fuel
12.9275361,77.5894406,2.051246670752121,Advaitha Petrol Bunk,fuel
12.9333646,77.6230728,3.7000924273977667,Sukh Sagar,food service
12.935703,77.6156133,3.3582479909832066,Masjid-e-Mamoor,place of worship
12.9163076,77.6103158,1.4794096834571329,Udupi Garden,food service
12.9328185,77.5830433,2.907220945309552,Foodworld,grocery
12.9309193,77.5837775,2.6875664439275115,Canara Bank,financial
12.9289702,77.5839921,2.497831125169948,State Bank of India,financial
12.9238284,77.5763354,2.7299873209192147,Citibank ATM Jayanagar 7th Block,financial
12.9353555,77.6148616,3.2801069764483834,ICICI Bank,financial
12.9356671,77.6144578,3.2845355626870414,Bharat Petroleum,fuel
12.9156177,77.6347321,4.035285404936774,State Bank of India,financial
12.9543746,77.5930172,4.85220392210611,Adyar Ananda Bhavan,food service
12.9498004,77.5865608,4.484486501507912,Lalbagh Glasshouse,attraction
12.9141893,77.5933299,0.6016021219583723,Ragigudda Temple,place of worship
12.9344837,77.6130843,3.093237456137964,Bob's Bar,food service
12.9215957,77.5857204,1.7625590612229958,Ganesh Temple,place of worship
12.932868,77.5872561,2.6881728377156513,Ganesha Temple,place of worship
12.8986538,77.5578162,4.546007480662532,State Bank of India,financial
12.8989528,77.5575938,4.559123171526328,Karur Vysya Bank,financial
12.8986874,77.5577817,4.548447564326626,,grocery
12.8983313,77.5582799,4.509181861568598,Shop and save,grocery
12.9233773,77.598919,1.3829289747880935,Maheshwari,cinema
12.9510029,77.5776381,4.9572536818706325,Arya Vysya Refreshments,food service
12.9506894,77.5786753,4.877157831132028,,food service
12.9505258,77.5785913,4.864587754725948,,food service
12.9507057,77.5784906,4.887337747739992,,food service
12.9512912,77.5774906,4.993074454070137,,food service
12.9522306,77.5897955,4.667401664762459,,food service
12.9181989,77.573292,2.775086076946482,Ganapathi Temple,place of worship
12.9172203,77.5923138,0.9134628819159926,Smart Bazaar,grocery
12.932679,77.6135844,2.9567365054043298,Hyderabad House,food service
12.9351086,77.611565,3.068840144908344,McDonald's,food service
12.9343669,77.6107742,2.955316639903149,KFC,food service
12.9547341,77.593073,4.891313496164519,,transportation
12.9430867,77.5994637,3.573755895349254,Madrasa-e Arabiya,education
12.9430329,77.5849889,3.8243716891579718,Brigade Homestead,lodging
12.9309204,77.5840319,2.6721684862018895,Ganesh Darshan,food service
12.9330581,77.584422,2.8506527802903565,Upahara Darshini,food service
12.9330431,77.5843044,2.8557260870001713,Nagarjuna Chimney,food service
12.9261789,77.5848245,2.1982541611007194,La Casa,food service
12.9268754,77.5862909,2.162882207336083,KFC,food service
12.925064,77.6328706,4.110173170378973,Sathya's,bar/club
12.946945,77.6175314,4.533951638874449,St. Sara's School,education
12.9451797,77.6213677,4.579981683457676,Annamma Temple,place of worship
12.9479784,77.6189413,4.708020913656186,,place of worship
12.9495122,77.6128103,4.582019127430935,Kalikamba Temple,place of worship
12.9497089,77.6128657,4.604598435829125,,place of worship
12.9500299,77.6132833,4.654111392237849,Shiva Temple,place of worship
12.9496275,77.6139658,4.639815727858641,Government School,education
12.9497624,77.6143357,4.6689447474617864,Methodist church school,education
12.9500555,77.6148988,4.722661229636658,,place of worship
12.9499206,77.6151518,4.719721899137391,Adithya public school,education
12.9494647,77.6154126,4.684709755672721,Church statue,place of worship
12.9499142,77.616417,4.775350943330459,Jewellery shops,jewellery
12.9503648,77.6156719,4.7875857969455335,,place of worship
12.9503747,77.6159015,4.798708538514367,temple,place of worship
12.9505235,77.6162762,4.830500932488032,St merry statue,place of worship
12.9502096,77.6166557,4.816059956216709,Church statue,place of worship
12.9081047,77.5925498,0.6535625940035604,Vasavi Education Trust School,education
12.9356995,77.6145787,3.294757824309127,Cafe Coffee Day,cafe
12.9554112,77.5918509,4.981612321263257,Mysore Resham Emporium,clothes
12.9165004,77.5922463,0.8594377317175332,Bangalore Central,mall
12.9484631,77.5798653,4.598280725160948,Citibank,financial
12.9310045,77.5830947,2.737804192955162,Pizza Hut,food service
12.9241534,77.5870587,1.8707002610097603,Raghavendra Swamy Mutt,place of worship
12.8762947,77.6164979,4.357446985073451,Mamata,grocery
12.9062825,77.6276456,3.276363381127242,Ganesha Temple,place of worship
12.8985118,77.617863,2.578970994610131,Hanuman Temple,place of worship
12.8981899,77.6181991,2.628956789420786,Shanishwara temple,place of worship
12.8986161,77.6179121,2.577249278664638,Sweet City Bakery,grocery
12.9242835,77.6181188,2.6519951527911525,Ayyappa Swamy Temple,place of worship
12.9380122,77.6265834,4.331046529192998,Ganesh Temple,place of worship
12.8989097,77.6219897,2.9453629576454006,,grocery
12.9431459,77.5893564,3.6911678374744685,Ganesha Statue,place of worship
12.9429538,77.5927317,3.5967179569372147,Masjid Abu Bakr (RAA),place of worship
12.9130435,77.6099326,1.3342060845413,Trends Woman,clothes
12.9356089,77.6151797,3.3228356828161663,HDFC Bank,financial
12.9104601,77.5823629,1.674651831190317,Sri Kalyana Venkateshwara Temple,place of worship
12.9150732,77.6197271,2.419066554495145,Vinayaka Temple,place of worship
12.9093013,77.614205,1.7874155828540992,ICICI Bank,financial
12.9066923,77.6129725,1.7119574411835061,Lord Shiva Temple,place of worship
12.9080346,77.613565,1.7394672614169129,Masjid Quba,place of worship
12.9057731,77.6125928,1.7044874079036372,Durga Temple,place of worship
12.9140567,77.6099682,1.3617836450186598,Jockey,clothes
12.9141469,77.6116922,1.5456331826713003,"St Josephs Eng Pri Sch, B T M Layout W No 65",education
12.9149626,77.6149914,1.9144772055977284,Sri Ganesh Food Point,food service
12.9140156,77.6092776,1.2882569915492903,Allen Solly,clothes
12.913127,77.6101684,1.360983828076781,Beijing Bites,food service
12.9127285,77.6064015,0.9516589101483188,Indian Bank,financial
12.9136099,77.6102033,1.3750829800137623,Mom & Kid,clothes
12.9136689,77.6099505,1.3497528828436494,Punjabi Swag,food service
12.9099963,77.6101216,1.3395179745248076,Sri Chamundeshwari Temple,place of worship
12.9279136,77.5866159,2.238883339010131,Vijaya Pre-University College,education
12.9217736,77.5925109,1.329487636185484,Holy Saint English School,education
12.923826,77.5846934,2.0142229491541555,Holy Christ English School,education
12.9340338,77.5874849,2.7960264094551794,Saraswati Vidya Mandir,education
12.9240904,77.5846782,2.0363152748880933,MES School 4th Blk Jayanagar,education
12.9229013,77.5816474,2.195750658967904,Good Shepherd School,education
12.9268857,77.5833568,2.3615376134014197,RV Dental College,education
