Landmark Latitude,Landmark Longitude,Distance,Landmark Name,Property Type
13.0145165,77.5678632,2.3307489335600673,,financial
13.014655,77.5678658,2.3237109021862374,,financial
13.0476857,77.5742994,3.768518050790037,Big Bazaar,grocery
13.0383199,77.5646766,2.2961918118993965,,fuel
13.0275857,77.571661,2.4855548663131337,,financial
13.0322135,77.5698943,2.427278638498332,Indian Oil,fuel
13.0376617,77.5352197,2.086861465286217,,financial
13.0492109,77.547547,2.7533047090166005,Kamat Nandanvan,food service
13.0047512,77.5650939,2.8069770778065086,State Bank of India,financial
13.0056248,77.5622366,2.5444947737452286,Axis Bank,financial
12.9985927,77.5687751,3.5928869933104712,The Malleshwaram association,bar/club
13.0483161,77.5520608,2.6711691544080547,Ekadanta Temple,place of worship
13.0483946,77.5426609,2.744020403721805,Dosa Camp,food service
13.0151185,77.5681179,2.3242929603941946,Centre for Product Design and Manufacturing (CPDM),education
13.0132383,77.5686174,2.4717341273389186,CiSTUP,education
13.0155209,77.5681206,2.3048480250833774,Interdisciplinary Centre for Energy Research,education
13.0158581,77.5683888,2.315289235495614,Interdisciplinary Centre for Water Research,education
13.0164088,77.5682496,2.276723635792774,Organic Chemistry,education
13.016856,77.5682738,2.2599950850306274,Inorganic and Physical Chemistry,education
13.0173833,77.5659752,2.007558215333526,Central Purchase and Stores,education
13.0138091,77.5668973,2.279228351834661,Physics,education
13.0171773,77.5648502,1.905774158435958,Insdoc,education
13.0169379,77.5645125,1.8844552064294027,Canara Bank,financial
13.0186339,77.5709242,2.4691010711450883,Electronic Systems Engineering,education
13.0175447,77.5700198,2.4107413415978836,Joint Advanced Technology Programme,education
13.0185648,77.5645301,1.8129005235244506,Amenities Hall,education
13.018047,77.5649882,1.8803924249460593,Tata Memorial Club,education
13.0362217,77.5663481,2.2933475698108086,Chikkamaranahalli,transportation
12.9907411,77.5577577,3.8720994300040226,Navarang Bar,bar/club
12.9955258,77.5717703,4.060673241771537,Hallimane,food service
12.9931291,77.5715961,4.264221357749831,New Krishna Bhavan,food service
12.9932258,77.5717309,4.263874314844273,Sri Krishna Lodge,lodging
12.9931208,77.5710734,4.232636218875399,Sampige Theatre,cinema
13.0055704,77.5713507,3.2124504519864745,Adiga's,food service
13.0024438,77.5838636,4.508241610967461,Pav Bhaji,food service
12.9967798,77.5404068,3.2165861826374815,Indian Oil,fuel
12.9966627,77.5400464,3.2404536936244446,Bharat Petroleum,fuel
12.9929911,77.5390937,3.6610162877835006,ICICI Bank,financial
12.9965228,77.5423272,3.1909199332620397,St Charles High School,education
12.9918012,77.5379737,3.8237273114726484,State Bank of India,financial
12.9938216,77.5387868,3.582843397308631,Shiva Temple,place of worship
12.9951833,77.5396211,3.4112204834772246,Guru Sagar Hotel,food service
12.9974545,77.5403023,3.1481476743779813,Fresh@Heritage,grocery
13.0361795,77.5317658,2.2696872030329223,Fair and Fair,grocery
13.0452298,77.547996,2.308755245639661,Jalahalli Village,transportation
13.0468252,77.5494119,2.4844227392528953,Ganesh Upahara,food service
13.0492252,77.5474051,2.7557765614767353,Nilgiris,grocery
12.9990578,77.5695202,3.6009943115045457,State Bank of India,financial
13.0281613,77.5732067,2.6605622198256325,Polar Bear,cafe
13.02807,77.5729018,2.6263692881076497,Hav Mor,food service
12.9885908,77.5442935,4.023082108208492,Carmel High School,education
12.993098,77.5421028,3.568014490271836,Temple,place of worship
12.9972514,77.541656,3.129562384720242,,grocery
13.0045673,77.5710992,3.266490725636547,Cafe Coffee Day,cafe
13.0042882,77.5710889,3.2868001809518637,Reliance Fresh,grocery
13.0064539,77.5780313,3.735596727954773,Stella Maris School,education
13.00559,77.570496,3.1415901211265607,HOPCOMS,grocery
13.0061977,77.5693737,3.00616419476025,Reliance smart@Malleswaram,grocery
13.0096888,77.5624992,2.2058586695537863,Bharat Petroleum,fuel
12.99695,77.5679373,3.68947338272822,ICICI Bank,financial
13.0045524,77.5711963,3.2753513416562154,Papa John's,food service
12.9901236,77.5722985,4.583155754894684,Vishnu Sagar,food service
12.9898878,77.5726957,4.6288286036293975,Sangeeth Bar and Restaurant,bar/club
12.9940976,77.571267,4.155763909022029,ICICI Bank,financial
12.9933312,77.57187,4.26308959391031,Corporation Bank,financial
12.9953279,77.5712934,4.047017419634334,Kolkata Chaat,food service
13.0192135,77.5572955,1.0786225991136793,Emirates,food service
13.018555,77.558819,1.2572766610274368,State Bank of India,financial
13.0081521,77.5716854,3.0613583140631038,Sri Ayyappa,place of worship
13.0034478,77.5673384,3.0735263944903113,Jayanti Apartments,residential
13.0045938,77.5669909,2.952605721710631,Maithree Apartments,residential
13.0397585,77.5555028,1.8409777728751462,City Supermarket,grocery
13.0400303,77.5555993,1.8728938884459128,Spencers Daily,grocery
13.0436252,77.5536883,2.189380588673765,Hindustan Petroleum,fuel
13.0460808,77.5460984,2.4207590363290734,Sharadambal Temple,place of worship
13.0466974,77.5440647,2.5255007398487597,Raghavendra Temple,place of worship
13.0521546,77.5515881,3.0898520047914904,Bharath,food service
13.051811,77.5517989,3.0540445810735686,Kadamba Veg,food service
13.026313,77.5845772,3.866160823328068,National Bureau of Agriculturally Important Insects,education
13.0489683,77.5440769,2.7726832529192156,Durga Restaurant,food service
13.0016893,77.5694475,3.3708903199636864,Bank of India,financial
13.0016506,77.5694522,3.374463094975849,Bank of India,financial
13.0011737,77.5683395,3.337342052033388,B. P. Indian,education
13.0041002,77.5713906,3.3249572604276487,Udupi Sri Krishnarajathadri,food service
13.0457661,77.5416305,2.495073865342423,Father Mathews School,education
13.0333714,77.5689251,2.379870667551187,IndusInd Bank,financial
13.033237,77.5690007,2.381179231223769,ING Vysya,financial
13.0330093,77.5691944,2.390197059311067,Nandini Palace,food service
13.0330766,77.5694147,2.415074922821951,Denizen,clothes
13.0330896,77.569359,2.4101072388491387,Beijing Bites,food service
13.033163,77.5691004,2.3877051162720795,World of Titan,watches
13.0331351,77.5691098,2.387385476719209,Van Heusen,clothes
13.0335167,77.5691031,2.40412942142826,Bata,shoes
13.0332457,77.5692878,2.4099908827723646,Koutons,clothes
13.029151,77.5709378,2.4389778445559913,McDonald's,food service
13.0292165,77.5709225,2.4389180600301263,Onesta,food service
13.00654,77.5692833,2.97327852720475,Chung's,food service
13.0068052,77.5645334,2.5922881906627877,Reliance Fresh,grocery
13.0085194,77.5688573,2.7944606704103943,HDFC Bank,financial
13.0092653,77.5621798,2.2186791205073093,Vani Vilas,education
13.0077753,77.5637631,2.4560930992276924,Ganesha,place of worship
13.0218399,77.5349348,1.5454328188890174,Sher-e-Punjab Dhaba,food service
13.0273219,77.5389577,1.1263220254980824,,food service
13.0266571,77.5391304,1.0896574282583789,Raju Samosa,food service
13.0067269,77.5640344,2.564083810773341,Sai Chats,food service
13.0220281,77.5340657,1.6343297968611736,Adarsh Dhaba,food service
13.0266169,77.5346987,1.5607797554713287,,financial
13.0055316,77.56985,3.094336654900352,UCO Bank,financial
13.0055316,77.569732,3.0849894050654205,,financial
13.0098299,77.5623705,2.184868640258696,Cafe Coffee Day,cafe
13.0029248,77.5663029,3.047521697050839,Ganesha,place of worship
13.0018944,77.5665182,3.152498521209089,Shamrao Vittal Cooperative,financial
13.0011328,77.5691982,3.4001734947996516,Kotak Mahindra Bank,financial
13.0010742,77.569202,3.4054182241382995,,financial
13.0369119,77.5659032,2.299159995085731,Shanthi Sagar,cafe
13.038095,77.569086,2.65577194633286,RMV Club,bar/club
13.0380165,77.5693434,2.6738142692092177,RMV Club,food service
13.0084832,77.5692697,2.8316322614591853,Syndicate Bank,financial
13.0085354,77.5694521,2.843405677098192,Syndicate Bank,financial
13.0342258,77.5691996,2.447480226300335,Reliance Fresh,grocery
13.0342347,77.5693249,2.4600964285130567,Hunan Chinese Restaurant,food service
12.9998952,77.5648773,3.234047965710196,Grace Church,place of worship
