Landmark Latitude,Landmark Longitude,Distance,Landmark Name,Property Type
12.9604812,77.6385098,4.341413924441352,IDBI Bank,financial
12.9606568,77.6385011,4.325799704176541,Shanti Sagar,food service
12.9588137,77.6382484,4.511484503738933,Family Mall,grocery
12.9591813,77.6382984,4.474326521221282,Spencers Express,grocery
12.9595527,77.638381,4.434935269613623,More,grocery
12.9593353,77.6385869,4.442866465535849,Srinidhi Sagar,food service
12.9621752,77.6373877,4.258782501398324,,grocery
12.9619513,77.6419064,4.00518170487294,Nandhini,food service
12.9601353,77.6431187,4.115934764549892,Axis Bank,financial
12.9559416,77.6412371,4.623505459874632,Pizza Hut,food service
12.9558995,77.6411692,4.631064399403186,Nandhana,food service
12.9782444,77.6407376,2.7272108961099395,KFC,food service
12.9602773,77.6373781,4.429905280413753,Vijaya Bank,financial
12.9606833,77.6381838,4.342847337462483,Union Bank of India,financial
12.9613667,77.6346913,4.509764697023713,Indian Oil,fuel
12.9600367,77.6452495,4.022335620864981,Kotak Mahindra Bank,financial
12.9600398,77.6452145,4.023634388891976,Citibank,financial
12.9651393,77.6383211,3.936279059750876,Bhagini,food service
12.9637134,77.6403936,3.9295260290604483,Subway,food service
12.9812136,77.6570884,1.3554934536035461,HP Auto Care,fuel
12.9584433,77.6608638,3.819430532519022,Food Palace,grocery
12.9782249,77.640632,2.737713575799908,Pizza Hut,food service
12.9754961,77.6412437,2.877846265689319,Cafe Coffee Day,cafe
13.0010382,77.6778627,2.0440039753280312,Krishnarajapuram Hanging Bridge,attraction
13.032254,77.6438151,4.766701046772832,Rays of Peace,place of worship
13.0317498,77.6437784,4.716714217017063,Sinclairs High School,education
13.0248848,77.6458889,3.926267719649417,Peniel Presbyterian Church,place of worship
13.0232515,77.6467632,3.721713783678115,Sri Shakti Vinayaka Temple,place of worship
13.0254302,77.6417703,4.184784762573524,State Bank of India,financial
13.0250166,77.6435019,4.053905539108739,Vinus Play Home and Day Care,education
13.0259923,77.6405519,4.305518585524128,Ginger Greens,food service
13.0271598,77.6323889,4.920753668051144,,financial
13.0263233,77.6319846,4.876994491940747,Fresh Supermarket,grocery
13.0231284,77.6362241,4.311061384775571,Cafe Coffee Day,cafe
13.0233653,77.636232,4.3311730250162634,Orkids,education
13.0238997,77.6349809,4.462340131990613,Little Elly,education
13.0242154,77.6356384,4.445220591563686,Smiley Kids,education
13.0268228,77.6329007,4.856760690416819,Florida College of Management and Computer Science,education
13.0269256,77.6329391,4.8630696303472485,Florida College of Education,education
13.0271338,77.6330115,4.8762769140131415,Florence College of Physiotherapy,education
13.0261391,77.6362268,4.577578557445005,Pizza Hut,food service
13.0245569,77.6369992,4.386144310437247,Foodworld Supermarket,grocery
13.0247406,77.6369933,4.402987150847487,ICICI Bank,financial
13.0248088,77.6369908,4.409267703526827,Style Spa,home furnishing
13.0224361,77.6308334,4.642049283460871,Shemrock Bright,education
13.0217371,77.6370282,4.135862706635106,Syndicate Bank,financial
13.019526,77.6367557,3.967047068185759,Sansar Collections,clothes
13.0196337,77.6342441,4.160825946186773,Small World,education
13.0203163,77.6325425,4.344441500543092,India Evangelical Church,place of worship
13.0194729,77.6312833,4.378225196996786,Sri Durgadevi Temple,place of worship
13.0194682,77.6332105,4.226675194711366,Thambis's Inetcafé,cafe
13.0201083,77.6304232,4.494641580388293,,place of worship
13.017623,77.6341168,4.013485621342394,Orchid Academy,education
13.028839,77.6349071,4.904964172610758,Cafe Moksh,cafe
12.9584099,77.6615017,3.8234984878749683,Shri Mahavir Digambar Jain Temple,place of worship
12.9603346,77.6382904,4.368262832309949,MintLeaf,food service
13.0255258,77.6524721,3.755317763375702,Gethseman Sungji Church,place of worship
13.0224257,77.6508337,3.474396501090355,More,grocery
13.0218507,77.6501901,3.4369546531746664,Karnataka Bank,financial
12.9535965,77.660901,4.3583544877923375,,place of worship
12.9643756,77.6371873,4.079544104315879,Domlur Club,bar/club
12.9622135,77.6414116,4.0083786603839515,Barbeque Nation,food service
13.0210003,77.6401088,3.868115654648595,Bethel Brethren Assembly,place of worship
13.0032767,77.6229524,4.284196633061082,,place of worship
12.9590966,77.6544331,3.8137668635486963,Pizza Hut,food service
13.0068553,77.6241647,4.286556971982332,Mini Bazaar,grocery
13.0037348,77.6228739,4.306492098413541,Auto Stand,transportation
13.003599,77.6225091,4.3402165308682195,Food Magic,food service
13.0228247,77.6477855,3.6335218083348044,Little Imperial,food service
12.959041,77.6564566,3.7851200130475147,Hyderabad Biryani House,food service
12.967858,77.6542204,2.8682561292457085,Cafe Coffee Day,cafe
12.9699613,77.6473796,2.936570819383212,Empire,food service
12.9951883,77.6985535,4.077331929649063,HDFC Bank,financial
12.9953337,77.6981627,4.036179837483942,Canara Bank,financial
12.9956238,77.6992864,4.159954782679814,State Bank of India,financial
12.984052,77.677251,2.011000367710506,Saraswati Vidya Mandir,education
12.984841,77.665406,1.0046621317784328,Bhuvaneshwari/Shiva Temple,place of worship
12.9858685,77.6687185,1.13653487667235,Domino's,food service
12.9858451,77.6686567,1.1333899055502803,Cafe Coffee Day,cafe
12.985118,77.679021,2.130687658801315,Mother Montessori House of Children Pre-school,education
12.972735,77.678774,2.946531721174423,Heritage Fresh,grocery
12.973597,77.678189,2.8325937691350886,Ruchi Restaurant,food service
12.977267,77.679729,2.6640870553614846,LR International School,education
12.981538,77.680174,2.42510568692394,State Bank of India,financial
12.9773708,77.6954828,4.110771963898846,Lumiere Restaurant,food service
12.9805079,77.6937246,3.799537150348022,BLR37 Bar & Kitchen,food service
12.9851864,77.6736268,1.608213740605451,New City Super Market,grocery
12.9855001,77.6732164,1.552060602091911,Reddys,food service
12.9842579,77.6793484,2.2027215909679856,Shaneeswara Temple,place of worship
12.9854324,77.6791217,2.1269948256601876,Bakers Park,food service
12.9979379,77.6706603,1.1926710391916964,Gokula Petrol / Gas Station,fuel
12.985926,77.6688553,1.1432027785074415,Reliance Fresh,grocery
12.9852309,77.6636329,0.8877659379019417,State Bank of India,financial
12.9859601,77.6689329,1.146959674064845,Nilgiris,grocery
12.994176,77.6638974,0.349424514649473,ICICI Bank,financial
12.9851708,77.6716822,1.4343148219552555,Cosmos,grocery
12.980808,77.6406008,2.581077891370742,Domino's,food service
12.980115,77.6405511,2.6262368211310907,Kund,food service
13.0009914,77.6184047,4.704455701062487,,financial
12.983791,77.65649,1.1138811857843745,Ganesha Temple,place of worship
12.9594188,77.6486258,3.9458031723243563,Matthan,food service
12.9930001,77.7027197,4.520093106121165,Domino's,food service
12.9787173,77.643786,2.434945154013347,Bandhej,clothes
12.9897305,77.7023418,4.492036458465247,,grocery
12.979486,77.6951134,3.9811504243930003,Sri Vishnu Palace,food service
12.9790704,77.693907,3.878054377648714,Axis bank ATM private to Ferns Icon,financial
12.979298,77.6951854,3.9961973696125934,Magic Wok,food service
12.9788613,77.6946259,3.9588260253427765,Sarovar Portico,bar/club
12.9763589,77.6412369,2.815194474463287,Reliance Footprint,shoes
12.9954058,77.6992647,4.155846612587687,,financial
12.9713009,77.6347274,3.7169434432412523,IDBI Bank,financial
13.022202,77.6507704,3.4530103862744785,City Pearl,grocery
13.0228757,77.6509402,3.5182955419601325,7 Days,grocery
