Landmark Latitude,Landmark Longitude,Distance,Landmark Name,Property Type
12.8952509,77.6019087,3.6401742124089242,State Bank of India,financial
12.8984603,77.6010688,3.4172916136480347,Snack Corner,food service
12.894213,77.6025681,3.693445383800428,Athicas Canteen,food service
12.8944356,77.6024475,3.6803835511589487,Chai-Unchai,cafe
12.8973119,77.6015666,3.480775707744363,,food service
12.8922129,77.5985137,4.131113169723512,Adigas,food service
12.9563674,77.6046266,4.275895986738608,Haydon Manor,residential
12.9185225,77.6518418,3.285813125081083,ICICI Bank,financial
12.9189346,77.65183,3.2799261089270497,Karnataka Bank,financial
12.9187503,77.6518327,3.282203162614765,Angel Heart Montessori Play School,education
12.917181,77.6493619,3.0398177695441415,Bank of Baroda,financial
12.9212938,77.6635656,4.537584114021874,Gangothri Residency,lodging
12.9214046,77.6639051,4.574270960705254,Ringview Residency,lodging
12.9174059,77.64853,2.9467777746805535,Priti Departmental Store,grocery
12.9316521,77.5907098,3.5362354490086996,Canara Bank Holiday Home,lodging
12.9309141,77.5850854,4.098317732338799,Citibank,financial
12.9330058,77.5836988,4.30604067999316,ICICI Bank,financial
12.9365346,77.627846,1.7789369581330416,State Bank of India,financial
12.9365895,77.5804447,4.767774797526325,Bharat Petroleum,fuel
12.9369025,77.5848426,4.337420866953424,Mahashakthi Enterprises,fuel
12.9285088,77.6007706,2.3912953327403303,Indian Oil Petrol Bunk,fuel
12.9275361,77.5894406,3.5559202044575957,Advaitha Petrol Bunk,fuel
12.9333646,77.6230728,1.3055494303324324,Sukh Sagar,food service
12.935703,77.6156133,1.6910308205243558,Masjid-e-Mamoor,place of worship
12.9163076,77.6103158,1.3718043862537912,Udupi Garden,food service
12.9328185,77.5830433,4.368096940421306,Foodworld,grocery
12.9309193,77.5837775,4.235851341722281,Canara Bank,financial
12.9289702,77.5839921,4.165878971404454,State Bank of India,financial
12.9238284,77.5763354,4.922246010957447,Citibank ATM Jayanagar 7th Block,financial
12.9353555,77.6148616,1.6896343266359208,ICICI Bank,financial
12.9356671,77.6144578,1.7401341315687961,Bharat Petroleum,fuel
12.9156177,77.6347321,1.5659988702109253,State Bank of India,financial
12.9604812,77.6385098,4.681265573397217,IDBI Bank,financial
12.9606568,77.6385011,4.698892796324922,Shanti Sagar,food service
12.9588137,77.6382484,4.49967766442368,Family Mall,grocery
12.9591813,77.6382984,4.539339365574338,Spencers Express,grocery
12.9595527,77.638381,4.580810214554195,More,grocery
12.9593353,77.6385869,4.5675031668826955,Srinidhi Sagar,food service
12.9621752,77.6373877,4.811029714360863,,grocery
12.9619513,77.6419064,4.982706527944164,Nandhini,food service
12.9601353,77.6431187,4.863459736737775,Axis Bank,financial
12.9559416,77.6412371,4.356583510500342,Pizza Hut,food service
12.9558995,77.6411692,4.348918148856807,Nandhana,food service
12.9602773,77.6373781,4.613830153013915,Vijaya Bank,financial
12.9606833,77.6381838,4.688400222562523,Union Bank of India,financial
12.9613667,77.6346913,4.6299781413636065,Indian Oil,fuel
12.9600367,77.6452495,4.968396027157217,Kotak Mahindra Bank,financial
12.9600398,77.6452145,4.966744649261739,Citibank,financial
12.956044,77.6119244,3.963099415476444,,place of worship
12.9543746,77.5930172,4.781498746552026,Adyar Ananda Bhavan,food service
12.9498004,77.5865608,4.925971281606719,Lalbagh Glasshouse,attraction
12.9141893,77.5933299,3.186173301161166,Ragigudda Temple,place of worship
12.9344837,77.6130843,1.7007289750239796,Bob's Bar,food service
12.9215957,77.5857204,3.8994543589763966,Ganesh Temple,place of worship
12.932868,77.5872561,3.934054377810979,Ganesha Temple,place of worship
12.9233773,77.598919,2.476010142383776,Maheshwari,cinema
12.9522306,77.5897955,4.845593473189547,,food service
12.9172203,77.5923138,3.223596191462737,Smart Bazaar,grocery
12.932679,77.6135844,1.504649125444496,Hyderabad House,food service
12.9351086,77.611565,1.851878156077233,McDonald's,food service
12.9343669,77.6107742,1.8400942376546885,KFC,food service
12.9603346,77.6382904,4.657022998866178,MintLeaf,food service
12.9547341,77.593073,4.808038273628701,,transportation
12.9430867,77.5994637,3.38565876246222,Madrasa-e Arabiya,education
12.9250029,77.664274,4.62869428357817,,grocery
12.9430329,77.5849889,4.6320332345959665,Brigade Homestead,lodging
12.9309204,77.5840319,4.209134902667118,Ganesh Darshan,food service
12.9330581,77.584422,4.232870341737896,Upahara Darshini,food service
12.9330431,77.5843044,4.244540781468494,Nagarjuna Chimney,food service
12.9261789,77.5848245,4.027409260969875,La Casa,food service
12.9268754,77.5862909,3.8804754815005986,KFC,food service
12.925064,77.6328706,1.2671216473735079,Sathya's,bar/club
12.9600242,77.6015444,4.78864092667211,Sandhya Sagar,food service
12.946945,77.6175314,2.8432362769539425,St. Sara's School,education
12.9451797,77.6213677,2.6110718797105497,Annamma Temple,place of worship
12.9479784,77.6189413,2.9372796179194887,,place of worship
12.9495122,77.6128103,3.2391620135679267,Kalikamba Temple,place of worship
12.9497089,77.6128657,3.2582814253028403,,place of worship
12.9500299,77.6132833,3.279541619206371,Shiva Temple,place of worship
12.9496275,77.6139658,3.216524478412663,Government School,education
12.9497624,77.6143357,3.2208421301575,Methodist church school,education
12.9500555,77.6148988,3.237992892860705,,place of worship
12.9499206,77.6151518,3.217229535421437,Adithya public school,education
12.9494647,77.6154126,3.1615926531117093,Church statue,place of worship
12.9499142,77.616417,3.189090100074837,Jewellery shops,jewellery
12.9503648,77.6156719,3.2536397115379017,,place of worship
12.9503747,77.6159015,3.249815186294211,temple,place of worship
12.9505235,77.6162762,3.2584809281063336,St merry statue,place of worship
12.9502096,77.6166557,3.216911897016342,Church statue,place of worship
12.9081047,77.5925498,3.5024086516569066,Vasavi Education Trust School,education
12.9356995,77.6145787,1.7374906771626202,Cafe Coffee Day,cafe
12.9554112,77.5918509,4.95129172040236,Mysore Resham Emporium,clothes
12.9165004,77.5922463,3.2441347588471428,Bangalore Central,mall
12.9310045,77.5830947,4.309952312827573,Pizza Hut,food service
12.9241534,77.5870587,3.7642725647280795,Raghavendra Swamy Mutt,place of worship
12.9622135,77.6414116,4.985702499008969,Barbeque Nation,food service
12.9062825,77.6276456,1.8314578539573314,Ganesha Temple,place of worship
12.8985118,77.617863,2.611732545961179,Hanuman Temple,place of worship
12.8981899,77.6181991,2.6415976471008435,Shanishwara temple,place of worship
12.8986161,77.6179121,2.599437729765248,Sweet City Bakery,grocery
12.9242835,77.6181188,0.4828730864437155,Ayyappa Swamy Temple,place of worship
12.9380122,77.6265834,1.8894680607950902,Ganesh Temple,place of worship
12.8989097,77.6219897,2.534360248492975,,grocery
12.9431459,77.5893564,4.23948566807184,Ganesha Statue,place of worship
12.9429538,77.5927317,3.929534519901443,Masjid Abu Bakr (RAA),place of worship
12.9130435,77.6099326,1.5978323893832815,Trends Woman,clothes
12.9356089,77.6151797,1.7003867981048377,HDFC Bank,financial
12.9104601,77.5823629,4.4428321114780145,Sri Kalyana Venkateshwara Temple,place of worship
12.9150732,77.6197271,0.7672633029976145,Vinayaka Temple,place of worship
12.9093013,77.614205,1.6001887639538157,ICICI Bank,financial
12.9066923,77.6129725,1.9182197265712835,Lord Shiva Temple,place of worship
12.9080346,77.613565,1.7567937703395242,Masjid Quba,place of worship
12.9057731,77.6125928,2.0274855588396723,Durga Temple,place of worship
12.9140567,77.6099682,1.5293917010416185,Jockey,clothes
12.9141469,77.6116922,1.371804268578606,"St Josephs Eng Pri Sch, B T M Layout W No 65",education
12.9149626,77.6149914,1.0439806719316873,Sri Ganesh Food Point,food service
12.9140156,77.6092776,1.594606091753793,Allen Solly,clothes
12.913127,77.6101684,1.571860667359666,Beijing Bites,food service
12.9127285,77.6064015,1.9350357897599255,Indian Bank,financial
12.9136099,77.6102033,1.5368186910409054,Mom & Kid,clothes
12.9136689,77.6099505,1.5553393141560001,Punjabi Swag,food service
12.9099963,77.6101216,1.8078605577126379,Sri Chamundeshwari Temple,place of worship
12.9279136,77.5866159,3.8645991889153963,Vijaya Pre-University College,education
12.9217736,77.5925109,3.163498209613454,Holy Saint English School,education
12.923826,77.5846934,4.017685474512206,Holy Christ English School,education
12.9340338,77.5874849,3.953602125456471,Saraswati Vidya Mandir,education
12.9240904,77.5846782,4.0211641456493075,MES School 4th Blk Jayanagar,education
12.9229013,77.5816474,4.342908667099773,Good Shepherd School,education
12.9268857,77.5833568,4.195373246377421,RV Dental College,education
12.9271452,77.5778773,4.78785170074616,Nehru Smaraka Vidya Kendra,education
12.9387689,77.5841184,4.493438497587144,Community English High School,education
12.9355883,77.5808383,4.689977279873614,City Central Library,education
12.934729,77.6125976,1.7527271942933693,Hungry Panda,food service
12.944337,77.620028,2.5236332694460635,Hotel Ganga Sagar,lodging
12.9377655,77.6267552,1.8685243907561773,Gangothri Restaurant,food service
12.9398542,77.6251855,2.053693369912778,Pizza Hut,food service
12.9376227,77.6269262,1.8589120600829288,Taco Bell,food service
12.9455764,77.5965053,3.808414885509572,Shanti Church,place of worship
12.9210075,77.6513793,3.217541526439322,,lodging
12.9349444,77.6293498,1.6900323847931864,Barista,cafe
12.9355492,77.6287026,1.7168081454931097,Rendezvous,bar/club
12.9353574,77.6293981,1.732711229561158,Maple's,lodging
12.916193,77.6053993,1.8697892651321435,Karnataka Bank,financial
12.9118085,77.6512869,3.3900509108961585,MK Retail Super Market,grocery
12.913356,77.651692,3.380380491001386,Cafe Coffee Day,cafe
12.913287,77.651677,3.38093254722226,Papa John's,food service
12.914984,77.651663,3.332166842505299,Swadeshi,clothes
12.914474,77.651684,3.347545398077981,Multiplex,grocery
12.9178793,77.652035,3.3150406028886596,Patalamma Temple,place of worship
12.9344118,77.6109865,1.8292285132237898,Cafe Coffee Day,cafe
12.9001507,77.630134,2.564612813740253,The Oxford Dental College & Hospital,education
12.9362306,77.6254307,1.6655489585926178,Kota Kachori,food service
12.9370423,77.6245906,1.7345104987662157,Coast to Coast Sea food restaurant,food service
12.9342471,77.6234716,1.4083230972291807,Tamrind Restaurant,food service
12.9370998,77.6245424,1.7398669757716592,Kubey Seafood Restaurant,food service
12.9109843,77.5791221,4.766001441786794,Prasiddhi,food service
12.9107281,77.5792052,4.764498872998342,Reliance Fresh,grocery
12.9056456,77.5855728,4.303303999885688,Nandhini Deluxe,food service
12.9022616,77.5827185,4.745737323877003,Ganesha Temple,place of worship
12.9027732,77.5837541,4.619899776443408,Inchara,food service
12.9354349,77.6058672,2.2971285535218584,Christ University Library,education
12.9359939,77.6151031,1.7428048146496469,Sweet Chariot,cafe
12.9342871,77.6161496,1.5234112066321592,Terminus,lodging
12.9334642,77.6151016,1.4908256257842292,Latte Tude,cafe
12.9365445,77.6142714,1.8365034603358215,Lucky da dhaba,food service
12.9338202,77.6193658,1.3712414422858257,Lazeej,food service
12.9345967,77.6162526,1.5508153050971114,Meghna Biryani,food service
12.9336119,77.6152238,1.499010448768377,Zheng,food service
12.9338304,77.6194655,1.3704055714916183,Golmal Paratha,food service
12.9345246,77.6162996,1.541463642111821,Costa,cafe
12.9365369,77.614409,1.8292530350878191,Aalishan,food service
12.936364,77.6147769,1.7949038140931766,The Juke Box,bar/club
12.9336331,77.622557,1.3301468080366239,Ping,food service
12.9366058,77.614973,1.8107026264322448,Sixtyfour,bar/club
12.9359336,77.6146718,1.7564513125552375,Daawat,food service
12.9362549,77.6145138,1.796069533828351,Atithya,food service
12.9338227,77.6193019,1.3728088776776097,Tunday Kabab,food service
12.9358653,77.6149483,1.7367750293244824,Udupi Upahaara,food service
12.9354363,77.6147873,1.701243580269173,Friends,cafe
12.9332689,77.6147839,1.4888410719429541,Purple Haze,bar/club
12.9333951,77.6155122,1.4631658343362801,Cuppa,cafe
12.9363343,77.6151183,1.7767297226361736,Coorg,food service
12.9337973,77.6189966,1.3766957741407593,KC Das,food service
