Landmark Latitude,Landmark Longitude,Distance,Landmark Name,Amenity Type (grouped),Shop Type (grouped),Tourism Type (grouped),Building Type (grouped),Property Type
12.3110701,76.6593011,1.0496751949653003,Pai Vista,,,lodging,,lodging
12.3079885,76.653633,1.7304328478350879,Mysore City Bus Stand,transportation,,,,transportation
12.3342845,76.6297013,4.304615937286169,Mysore West Lions Sevanikethan School,education,,,,education
12.3272782,76.6366858,3.3132624358858074,Ramakrishna Vidyashala,education,,,,education
12.3286366,76.6299481,4.057027093351883,Nirmala Convent,education,,,,education
12.3114826,76.6440802,2.463675173202427,Metropole,,,lodging,,lodging
12.3117845,76.6430331,2.5629627790505407,"Regaalis, Mysore",,,lodging,,lodging
12.3097363,76.6446,2.4763586856485946,Cafe Coffee Day,cafe,,,,cafe
12.3063337,76.6451531,2.590360704713285,ICICI Bank (Main Branch),financial,,,,financial
12.2978617,76.6431092,3.333252348594481,Government School;Raman IT,education,,,,education
12.299309,76.6429854,3.2368509376615355,,fuel,,,,fuel
12.2951146,76.6418418,3.643644598591678,Canara Bank,financial,,,,financial
12.2955488,76.6411661,3.662984944903267,Hotel Mahesh Prasad,food service,,,,food service
12.3125141,76.6433728,2.5060591305722237,Hotel Guru Residency,,,lodging,,lodging
12.315382,76.6236231,4.582674034412613,Karnataka State Open University,education,,,,education
12.3080613,76.6598093,1.2904727030318555,Hotel Ramanashree,,,lodging,,lodging
12.3078743,76.659847,1.3065546871132403,Papa John's,food service,,,,food service
12.2932121,76.6453727,3.5442000739423594,ICICI Bank,financial,,,,financial
12.2839716,76.6415174,4.619326440820316,National Institute of Engineering,education,,,,education
12.2814743,76.6412739,4.864637809645501,Golden Jubliee Block,education,,,,education
12.309104,76.6623707,1.0675158139656529,Sandesh The Prince,food service,,,,food service
12.2794688,76.6680017,4.306336340381684,Nandi Statue,place of worship,,,,place of worship
12.3123503,76.6531011,1.513444239769294,Bombay Tiffanys,,,lodging,,lodging
12.3110043,76.6542796,1.4734080998812993,Hotel New Shilpashri Bar and Restaurant,,,lodging,,lodging
12.3128041,76.6538693,1.4164946315435605,Chandra Palace,,,lodging,,lodging
12.3187256,76.6482804,1.8949384301871701,Private Bus Stand,transportation,,,,transportation
12.3086026,76.6587377,1.302697312227896,Hotel RRR,,,lodging,,lodging
12.310994,76.6593118,1.0552540658139826,Pai Vista,food service,,,,food service
12.3110944,76.6550151,1.4010868777973073,RRR Hotel,food service,,,,food service
12.31096,76.6578378,1.1695849448973186,Sri Uma Maheswara Lodge,,,lodging,,lodging
12.3060376,76.6507364,2.1108717553360474,Kalpana Lodge,,,lodging,,lodging
12.3100755,76.6528438,1.6604591010840182,Indra Cafe's Paras,food service,,,,food service
12.3110232,76.6581937,1.1367092956480005,St. Bartholemew's Church,place of worship,,,,place of worship
12.3104659,76.6578166,1.209349163340952,Arun Darshan,food service,,,,food service
