Landmark Latitude,Landmark Longitude,Distance,Landmark Name,Amenity Type (grouped),Shop Type (grouped),Tourism Type (grouped),Building Type (grouped),Property Type
12.3079885,76.653633,4.79712508647325,Mysore City Bus Stand,transportation,,,,transportation
12.3342845,76.6297013,1.9901811799329552,Mysore West Lions Sevanikethan School,education,,,,education
12.3272782,76.6366858,2.524526672844942,Ramakrishna Vidyashala,education,,,,education
12.3286366,76.6299481,1.8130050263285855,Nirmala Convent,education,,,,education
12.3114826,76.6440802,3.692645009872273,Metropole,,,lodging,,lodging
12.3117845,76.6430331,3.5756841389434335,"Regaalis, Mysore",,,lodging,,lodging
12.3097363,76.6446,3.8310416885569953,Cafe Coffee Day,cafe,,,,cafe
12.3063337,76.6451531,4.073643152514899,ICICI Bank (Main Branch),financial,,,,financial
12.2978617,76.6431092,4.484908005858012,Government School;Raman IT,education,,,,education
12.299309,76.6429854,4.364452111563215,,fuel,,,,fuel
12.2951146,76.6418418,4.609655367774334,Canara Bank,financial,,,,financial
12.2955488,76.6411661,4.5247361194695115,Hotel Mahesh Prasad,food service,,,,food service
12.3125141,76.6433728,3.5741701102426204,Hotel Guru Residency,,,lodging,,lodging
12.315382,76.6236231,1.6107883455068832,Karnataka State Open University,education,,,,education
12.3136016,76.6163265,1.4077598479312636,Downs,cafe,,,,cafe
12.3123503,76.6531011,4.56167320046538,Bombay Tiffanys,,,lodging,,lodging
12.3110043,76.6542796,4.733126482909157,Hotel New Shilpashri Bar and Restaurant,,,lodging,,lodging
12.3128041,76.6538693,4.62428086424635,Chandra Palace,,,lodging,,lodging
12.3187256,76.6482804,3.8643423980093816,Private Bus Stand,transportation,,,,transportation
12.3110944,76.6550151,4.804563911487722,RRR Hotel,food service,,,,food service
12.3060376,76.6507364,4.613078395496025,Kalpana Lodge,,,lodging,,lodging
12.3100755,76.6528438,4.625845263634898,Indra Cafe's Paras,food service,,,,food service
12.3048676,76.6530862,4.899483074391683,Lakshmiramana Temple,place of worship,,,,place of worship
12.3111204,76.6447296,3.773698460639227,Aravind Service Station,fuel,,,,fuel
12.313992,76.6563051,4.8380551172743305,,financial,,,,financial
12.3139028,76.6563078,4.841074012432637,State Bank of India,financial,,,,financial
12.3128495,76.6474754,3.969542749322385,Ganesh Petrol Bunk,fuel,,,,fuel
12.3124681,76.647261,3.9637385450793374,Vijaya Petrol Bunk,fuel,,,,fuel
12.3290856,76.6477973,3.7435056480551787,Sujatha Residency,,,lodging,,lodging
12.3526693,76.6064393,3.0676412048836186,Green Valley,food service,,,,food service
12.2959592,76.6386458,4.312192670616863,Sindoora,food service,,,,food service
12.2978723,76.6432846,4.4977823169447335,Vijaya Bank,financial,,,,financial
12.2978723,76.6432846,4.4977823169447335,Vijaya Bank,financial,,,,financial
12.2952909,76.6399359,4.458930139847582,Ram Mandir,place of worship,,,,place of worship
12.2955923,76.6419261,4.576454200451132,Mystore,,grocery,,,grocery
12.2978354,76.6425126,4.440688871960067,,financial,,,,financial
12.3008834,76.6404911,4.04701160872417,Jade Garden,food service,,,,food service
12.3008074,76.6403651,4.042940190213719,Jade Garden,,,lodging,,lodging
12.295892,76.641981,4.555974940875171,State Bank of India,financial,,,,financial
12.2988029,76.6454853,4.604297401137355,The Heritage,bar/club,,,,bar/club
12.3118115,76.6426288,3.534973074284252,Reliance Trends,,clothes,,,clothes
12.3131217,76.6433369,3.542878353909912,Ideal Jawa Rotary High School,education,,,,education
12.3163895,76.6458903,3.677348982432781,Railway Taxi Service,transportation,,,,transportation
12.313106,76.6446565,3.675223791972275,HP,fuel,,,,fuel
12.3166751,76.6458206,3.6610231377038405,,financial,,,,financial
12.3164288,76.6455443,3.640110024479221,,financial,,,,financial
12.3157475,76.6325276,2.3594439393128965,Nandi Petrol Bunk,fuel,,,,fuel
12.3228072,76.6349681,2.3597393753399363,Corner House,cafe,,,,cafe
12.3563251,76.6367869,4.220332796436598,Aris Global Software Pvt Ltd.,,,,office,office
12.3564037,76.6277264,3.7224724972094343,Costal Garden,food service,,,,food service
12.3102018,76.6560214,4.941668793912233,Domino's,food service,,,,food service
12.2964365,76.6335822,3.941980689278556,Indian Oil,fuel,,,,fuel
12.3178359,76.6251578,1.556452348312464,Pelican Pub,bar/club,,,,bar/club
12.3214224,76.620769,0.938008115309273,DRC,cinema,,,,cinema
12.3214186,76.6210102,0.9604336033867491,Big Bazaar,,grocery,,,grocery
12.3213183,76.6211724,0.981285653618401,KFC,food service,,,,food service
12.338063,76.618564,1.4550727719826209,Savi Ruchi,food service,,,,food service
12.3381312,76.6167187,1.398838612182363,Reliance Fresh,,grocery,,,grocery
12.3389696,76.6164558,1.4827884825782371,,fuel,,,,fuel
12.3446084,76.6187893,2.152786746323213,Cauvery Bar,bar/club,,,,bar/club
12.3491884,76.618387,2.637829864928254,More Store,,grocery,,,grocery
12.3515413,76.6286062,3.2852233274470284,Royal Inn,,,lodging,,lodging
12.3340367,76.6180987,1.0289995972149302,Oyster Bay,food service,,,,food service
12.2867455,76.6259777,4.566119600370453,Shanti Sagar,food service,,,,food service
12.2985955,76.6262273,3.342228773711177,Devaru Fuel Center,fuel,,,,fuel
12.299678,76.6264083,3.2415186611633087,State Bank of India (SME Branch),financial,,,,financial
12.300894,76.6261561,3.1079611316134,Dolphin Bakes 'N' Ice Creams,food service,,,,food service
12.2952419,76.6258478,3.6696017419624827,,fuel,,,,fuel
12.2943948,76.6256653,3.7503787750515514,Kafe Biryani,food service,,,,food service
12.3251209,76.6317018,1.980984890686448,HDFC Bank,financial,,,,financial
12.3245733,76.6312404,1.9347977886861174,Axis Bank,financial,,,,financial
12.3233522,76.629961,1.8129496599810981,Pizza Hut,food service,,,,food service
12.3232316,76.6304465,1.8671613899244033,Loyal World,,grocery,,,grocery
12.3045108,76.6437878,4.064685728426016,Jal Paan,food service,,,,food service
12.3047676,76.6438602,4.054398668522859,Maharaja,food service,,,,food service
12.3093689,76.6561671,4.989960383551267,Corporation Bank ATM,financial,,,,financial
12.3118335,76.6539708,4.669922841589618,Hotel Dasparakash Akshaya,,,lodging,,lodging
12.2971227,76.6413823,4.411602818126736,Lord Shiva temple,place of worship,,,,place of worship
12.3129767,76.6127515,1.4452143087806766,Ganapathi Temple,place of worship,,,,place of worship
12.3134507,76.6149147,1.3989398733540868,Punjab National Bank,financial,,,,financial
12.2964708,76.6309423,3.7873712757554934,Cafe Coffee Day,cafe,,,,cafe
12.2964727,76.6308603,3.7827354670638735,Bombay Tiffanys Sweets and Chats,food service,,,,food service
12.2953564,76.6320028,3.952503792644497,Canara Bank,financial,,,,financial
12.2888911,76.6271507,4.380428982977668,Dasthi Institute of Nursing,education,,,,education
12.2863975,76.6299131,4.746744432295454,Reliance Fresh,,grocery,,,grocery
12.2863844,76.6297803,4.742690365107544,Canara Bank,financial,,,,financial
12.2864459,76.6294896,4.724633860472518,Petrol Bunk,fuel,,,,fuel
12.2866477,76.626633,4.598117848861324,More,,grocery,,,grocery
12.2864669,76.6284274,4.681207501265017,Euro Kids,education,,,,education
12.2865429,76.6277193,4.647121399577762,Queen's Fashion Institute,education,,,,education
12.2887417,76.6308216,4.546259913656354,NIIT,education,,,,education
12.2866031,76.626794,4.608289692566834,Nature Fresh,food service,,,,food service
12.2860854,76.6257844,4.630150919778697,State Bank of India,financial,,,,financial
12.286818,76.6247206,4.519644877098728,ShowOff,,clothes,,,clothes
12.2864407,76.6260859,4.601974331939283,Jockey,,clothes,,,clothes
12.2848131,76.625941,4.770579384699287,Cumin,food service,,,,food service
12.2866844,76.626515,4.590269761790461,Peter England,,clothes,,,clothes
12.2859798,76.6257741,4.641072914163238,Vinayaka Temple,place of worship,,,,place of worship
12.2844462,76.6260429,4.812841675812059,Net Focus Browsing Center,education,,,,education
12.2867709,76.6256809,4.553937993949212,Loyal World,,grocery,,,grocery
12.286176,76.6257399,4.619110408568203,Kuvempunagar Shopping Complex,,grocery,,,grocery
12.2867656,76.6255414,4.550116454156832,Woodlands,,clothes,,,clothes
12.2863673,76.6265901,4.626328614116722,People,,clothes,,,clothes
12.2844174,76.6264104,4.827374221169064,Agarwal's Chats,food service,,,,food service
12.2844672,76.6261985,4.815423409687443,Mr.Idly,food service,,,,food service
12.2867394,76.6258096,4.561373588959912,Rangoli Showroom,,clothes,,,clothes
12.2856125,76.6259893,4.686926018742747,Corporation Bank,financial,,,,financial
12.3370488,76.6178496,1.3216166591104732,Sri Raghavendra Complex,,,,residential,residential
