Landmark Latitude,Landmark Longitude,Distance,Landmark Name,Amenity Type (grouped),Shop Type (grouped),Tourism Type (grouped),Building Type (grouped),Property Type
12.3110701,76.6593011,1.036922035209147,Pai Vista,,,lodging,,lodging
12.3079885,76.653633,1.7228894733342122,Mysore City Bus Stand,transportation,,,,transportation
12.3342845,76.6297013,4.338761232419785,Mysore West Lions Sevanikethan School,education,,,,education
12.3272782,76.6366858,3.3443268094830345,Ramakrishna Vidyashala,education,,,,education
12.3286366,76.6299481,4.087502918793358,Nirmala Convent,education,,,,education
12.3114826,76.6440802,2.4728641973092373,Metropole,,,lodging,,lodging
12.3117845,76.6430331,2.573190649642297,"Regaalis, Mysore",,,lodging,,lodging
12.3097363,76.6446,2.48217787126302,Cafe Coffee Day,cafe,,,,cafe
12.3063337,76.6451531,2.590122019329704,ICICI Bank (Main Branch),financial,,,,financial
12.2978617,76.6431092,3.324129623215813,Government School;Raman IT,education,,,,education
12.299309,76.6429854,3.2293601895034416,,fuel,,,,fuel
12.2951146,76.6418418,3.6330217358555355,Canara Bank,financial,,,,financial
12.2955488,76.6411661,3.653317427927395,Hotel Mahesh Prasad,food service,,,,food service
12.3125141,76.6433728,2.517389535873657,Hotel Guru Residency,,,lodging,,lodging
12.315382,76.6236231,4.601101475256341,Karnataka State Open University,education,,,,education
12.3080613,76.6598093,1.2696510679095918,Hotel Ramanashree,,,lodging,,lodging
12.3078743,76.659847,1.2853374962812683,Papa John's,food service,,,,food service
12.2932121,76.6453727,3.5288387515727195,ICICI Bank,financial,,,,financial
12.2839716,76.6415174,4.601300300487634,National Institute of Engineering,education,,,,education
12.2814743,76.6412739,4.845547672973038,Golden Jubliee Block,education,,,,education
12.309104,76.6623707,1.0407656850693128,Sandesh The Prince,food service,,,,food service
12.2794688,76.6680017,4.2687676603963665,Nandi Statue,place of worship,,,,place of worship
12.3123503,76.6531011,1.5173132573989416,Bombay Tiffanys,,,lodging,,lodging
12.3110043,76.6542796,1.4718786994945119,Hotel New Shilpashri Bar and Restaurant,,,lodging,,lodging
12.3128041,76.6538693,1.4207041259625188,Chandra Palace,,,lodging,,lodging
12.3187256,76.6482804,1.9172796056556238,Private Bus Stand,transportation,,,,transportation
12.3086026,76.6587377,1.2856656316704484,Hotel RRR,,,lodging,,lodging
12.310994,76.6593118,1.0422499492742883,Pai Vista,food service,,,,food service
12.3110944,76.6550151,1.398554462959519,RRR Hotel,food service,,,,food service
12.31096,76.6578378,1.1606130151306404,Sri Uma Maheswara Lodge,,,lodging,,lodging
12.3060376,76.6507364,2.1040358277085884,Kalpana Lodge,,,lodging,,lodging
12.3100755,76.6528438,1.6587827444866012,Indra Cafe's Paras,food service,,,,food service
12.3110232,76.6581937,1.1269914206744314,St. Bartholemew's Church,place of worship,,,,place of worship
12.3104659,76.6578166,1.199044217822163,Arun Darshan,food service,,,,food service
12.3048676,76.6530862,2.0020547939171145,Lakshmiramana Temple,place of worship,,,,place of worship
12.3111204,76.6447296,2.417387307819686,Aravind Service Station,fuel,,,,fuel
12.3100962,76.6566137,1.324079946463395,Hotel Zameera,food service,,,,food service
12.3103941,76.6578212,1.20412708397857,MRT Yatri Nivas,,,lodging,,lodging
12.313992,76.6563051,1.1256427485142395,,financial,,,,financial
12.3037677,76.6557151,1.9134317351283283,Shweta Varahaswamy Temple,place of worship,,,,place of worship
12.29325,76.6590172,2.830937772993966,,fuel,,,,fuel
12.3103101,76.6576189,1.226572568368405,Karnataka Tourist Center,,,lodging,,lodging
12.3139028,76.6563078,1.129144446617372,State Bank of India,financial,,,,financial
