id,name,latitude,longitude,Property Type
8196809485,Global Institute of Medical Science,12.9677908,77.5876984,education
8205055155,IDC Idli Dosa Coffee Central Kitchen,12.9659973,77.594522,food service
9140200231,Makkah Cafe,12.9639276,77.6064804,cafe
9140200239,Yelamma Dasappa,12.9601375,77.595942,food service
9140200243,Coffee,12.9689448,77.5842382,cafe
9140200244,Chikkanna Tiffin Room,12.9683717,77.5844461,food service
9144230968,Yak's Kitchen,12.9738424,77.6068454,food service
9144230969,Rasta Cafe,12.9742715,77.6067982,food service
9175932903,Miyajima Bento,12.9654384,77.6144426,food service
9179389770,The Cafe @ Saanchi,12.9583652,77.604285,cafe
9214580875,HDFC Bank,12.9642974,77.6146317,financial
9214580890,Indira Canteen,12.9687069,77.6104769,food service
9214580891,Hotel Fanoos,12.9639576,77.6063396,food service
9214580905,No Limmits Lounge and Club,12.9706287,77.6110248,bar/club
9230655289,Dindigul Thalappakatti,12.972361,77.6186442,food service
9230655291,Starbucks,12.9723937,77.6184551,cafe
9289356417,Udupi Sagar Veg Restaurant,12.9580517,77.5824765,food service
9296258312,Canara Bank,12.9596526,77.5938318,financial
9296258314,Karnataka Bank,12.9590854,77.5936373,financial
9381352866,Amintri Cafe and Pastries,12.9737225,77.6032468,cafe
9502502854,St. Euphrasias Girls' High School,12.9678052,77.6048389,education
9507141939,Sreeraj Lassi Bar,12.959883,77.5978925,cafe
9507141940,Hari Super Sandwich,12.9599213,77.5979464,food service
9507166593,Karak Chai,12.9611473,77.5982936,cafe
9513780414,Bombay Borough,12.9669121,77.6081804,food service
9531680758,Mayuri,12.9559991,77.5806662,food service
9532858987,Starbucks,12.97119,77.5982058,cafe
9532858988,Theobroma,12.9712972,77.5975701,cafe
9532858990,Karnataka Bank,12.9689056,77.6002859,financial
9532858994,Lavonne Cafe,12.9695074,77.6003515,cafe
9532858999,Brassa,12.9705196,77.6006386,food service
9536777471,Chin Lung,12.9718552,77.6066212,bar/club
9536777475,Taste of Tibet,12.9736208,77.6067299,food service
9536777476,Raahi Neo Kitchen and Bar,12.9731085,77.6023458,food service
9540035553,Commmuniti,12.9724329,77.6082882,bar/club
9540035598,Canara Bank,12.970798,77.5973193,financial
9633893494,Royanna Military Canteen,12.9712942,77.6065151,food service
9633893495,AU Small Finance Bank,12.9717383,77.606402,financial
9738067183,Boteco - Restaurante Brasileiro,12.9704878,77.6105343,food service
9738067184,Record Room,12.9705472,77.6105595,bar/club
9738943447,Ground Up Coffee,12.968292,77.6027535,cafe
9741003979,"Flourish, School Of Baking & Cake Decor",12.9668493,77.6068628,education
9775599250,Just BLR,12.9732797,77.6072583,cafe
9777549169,Snacks Stall,12.9719232,77.5866602,food service
9870882731,IDC,12.968722,77.6012354,food service
9892036239,Sri Govinda Rao Military Hotel,12.972753,77.570233,food service
9893685130,Baneshwar Temple,12.9688981,77.5750367,place of worship
9893686519,HDFC Bank,12.9686449,77.5749197,financial
9893688819,Masjid Sir Khazi Saheb,12.9685944,77.5748705,place of worship
9924452291,Naru Noodle Bar,12.9584747,77.5929108,food service
9930165080,Indira Canteen,12.9568165,77.6167023,food service
9951289032,Indira Canteen,12.9494569,77.6119924,food service
9951289105,New Apostolic Church,12.9486492,77.605889,place of worship
9954981018,Le Rock,12.9736229,77.6070067,bar/club
9954981019,Brigade Blues,12.9736268,77.6070848,bar/club
9967388991,Cafe Coffee Day,12.9699094,77.609892,cafe
10009475717,Virinchi Cafe,12.9688544,77.601449,food service
10009475817,Fuga,12.9688078,77.6013703,cafe
10032026862,10 Speakeasy,12.9670093,77.6085323,food service
10032117240,Cafe Amudham,12.9477787,77.592107,food service
10032174054,Khazana Food Paradise,12.9641889,77.6055336,food service
10042701718,Sugarcane Juice Shop,12.951793,77.6055559,food service
10042722617,Infant Jesus Mini Church,12.9512534,77.6054853,place of worship
10051816948,The Merak Brewhouse,12.9721424,77.5951388,food service
10051816956,Delistic,12.9688477,77.6002752,cafe
10201030338,Karnataka State Police Officers' Mess,12.9715246,77.6088542,food service
10234922550,PVR Director's Cut,12.9726543,77.6066925,cinema
10236025477,Cantan,12.9706006,77.5975205,food service
10236025482,Glen's Bakehouse,12.969789,77.5974038,cafe
10236025507,Kazé,12.965343,77.5963108,food service
10241529218,Kuuraku,12.9727934,77.6067446,food service
10265825051,Sly Granny,12.972689,77.6070189,food service
10265825052,Dhaba - Estd 1986 Delhi,12.9726603,77.6070088,food service
10265825053,antisocial,12.9727093,77.6069676,food service
10265825054,Cafe Delhi Heights,12.9726792,77.6069572,food service
10265825055,Foo,12.9729373,77.606404,food service
10265825056,Burma Burma,12.9730014,77.6061371,food service
10265825073,T'ART Cafe,12.9727906,77.6066668,cafe
10265825074,Punjab Grill,12.9729568,77.6063289,food service
10265825075,Third Wave Coffee,12.9727154,77.6068723,cafe
10265825076,Nando's,12.9729172,77.6064737,food service
10272932181,Truffles,12.9717441,77.6008773,cafe
10272932192,Coconut Water,12.968075,77.588971,food service
10279677013,Kentacy Chicken Corner,12.9679568,77.5915472,food service
10279727350,Alchemy,12.9658984,77.5985652,bar/club
10280759756,Shakesbierre,12.9709992,77.6073508,bar/club
10280759757,We: Neighbourhood,12.9723285,77.6083187,bar/club
10286307780,Bangalore Club Library,12.9673295,77.5975661,education
10286307781,Bowring Institute Library,12.9743213,77.6004186,education
10290842821,One Night in Bangkok,12.9721584,77.5963444,food service
10293872601,Baskin-Robbins,12.9706333,77.6065917,food service
10294519333,Misu,12.9706449,77.6006598,food service
10294575489,No. 10 Fort Cochin,12.9706732,77.600667,food service
10295397888,Nandhini Deluxe,12.971816,77.6008947,food service
10295397892,SLAY Coffee,12.971403,77.6008156,cafe
10295411715,Jaisalmer,12.9711129,77.6006185,food service
10297770885,SpiceKlub,12.9685762,77.6026335,food service
10297770886,Quattro Ristorante,12.9686723,77.6025993,food service
10312575613,Istoria Cafe,12.9617241,77.6053391,cafe
10524276373,Pride Cafe,12.9732339,77.608862,cafe
10695273912,Fia's Lounge,12.9658405,77.6028092,food service
10697561504,State Bank of India,12.9633163,77.5889106,financial
10727947513,Amdo's Corner,12.958211,77.6152351,food service
10753340333,Karims,12.9721316,77.600831,food service
10833805497,Pangeo,12.9729733,77.6062705,bar/club
10853089401,Union Bank,12.9634257,77.5842141,financial
10865280923,Öz by Kebapçi,12.9719387,77.596469,food service
10895966349,Flames Restaurant,12.9497222,77.5959568,food service
10895966356,ICICI Bank,12.9578594,77.5926986,financial
10908375116,Klava,12.9727456,77.6067858,cafe
10946873742,GOPIZZA,12.9702072,77.6100129,food service
11035521585,Canopy Restaurant,12.9744219,77.6099445,food service
11088682661,Chef Pillai,12.9706973,77.6071349,food service
11102370549,plan b,12.9696185,77.6063282,bar/club
11102370573,Brahmin's,12.9695839,77.6063302,food service
11102370575,Bank of Maharashtra,12.9711573,77.6067017,financial
11107546220,Cumulus,12.9744846,77.5967949,food service
11178098073,Tumkur Veerashaiva Co-opperative Bank,12.9574238,77.569714,financial
11178098078,Sri Ranganatha Military Hotel,12.9578846,77.5694661,food service
11178098249,State Bank of India,12.9569748,77.5689944,financial
11178098253,Child's Kingdom,12.9523331,77.5678264,education
11178116151,Autism Resource Library and Training Centre,12.9535429,77.5701028,education
11178123506,Shankara Rotary Children's Library,12.9541209,77.5686792,education
11178123521,2 Half Coffee,12.9581135,77.5684411,cafe
11178123524,The Hotel Industrialist's Co-Op Bank Ltd,12.958223,77.5684377,financial
11178123527,Vasu Donne Biryani,12.9589489,77.5683821,food service
11178123935,Sir M Vishweshwaraya Co Operative Bank,12.9555133,77.5695095,financial
11178125303,South India Banks Staff Training College,12.9533506,77.5700275,education
11178125304,Autism Resource Library and Training Centre,12.9535319,77.5700449,education
11178134961,Sri Adi Basavanna Temple,12.9484774,77.5705547,place of worship
11178135455,Sri Channakeshwara Temple,12.9489174,77.5701202,place of worship
