id,name,latitude,longitude,Property Type
11096914886,Yes Bank,12.9945782,77.6157166,financial
11096914887,Shankar Bhel House,12.9949755,77.6162276,food service
11148355822,Sri Manjunatha Tiffin Centre,13.0056129,77.6236747,food service
11148749779,Indira Canteen,13.0110602,77.6133335,food service
11165366175,Axis Bank,13.0010897,77.6270489,financial
11173721923,Chrysalis Hub,13.0052614,77.626996,education
11212337062,Peniel Community College for Women,13.0058168,77.6267398,education
11282630635,Big Bang Pizza,12.9946253,77.6150139,food service
11282630636,The Real Grill,12.9953603,77.6143876,food service
11282630637,Pooja Veg,12.9955145,77.614165,food service
11282630667,La Pino'z Pizza,12.997668,77.6100726,food service
11282630668,HDFC Bank,12.9880012,77.6175244,financial
11472852217,Taj Hotel,13.0003295,77.6173282,food service
11472852222,UCO Bank,13.000276,77.6176255,financial
11472852226,Bucket Biryani,13.0002715,77.6177205,food service
11472852235,Shiva Shakti Bar and Restaurant,13.0001684,77.6187683,bar/club
11472852238,Sheesh Kebab,13.0003724,77.6167827,food service
11472852242,Chichabas Dawat,13.0002804,77.6174439,food service
11557043272,Bäcker & Charlie,12.9948602,77.6175033,cafe
11584464960,The Milton St. Cafe,13.0016951,77.6236518,cafe
11822465878,Chota Swaad,13.0013403,77.6235811,food service
11853263740,Om Ganesh Fruit Juice Centre,12.9996997,77.6158458,food service
11853276286,Dharmik Veg,12.9993695,77.6160179,food service
11853276288,Punjab National Bank,12.9961374,77.6138297,financial
11853284861,Dow Tow,12.9999237,77.6160969,food service
11853327828,Raidan Restuarant,12.9974892,77.6143806,food service
11853327835,Sharief Bhai,12.9969083,77.6139947,food service
11853327840,Axis Bank,12.9965326,77.6136496,financial
11853328089,Subway,12.9971938,77.6146067,food service
11853329076,Om Ganesh Fruit Juice Centre,12.9993193,77.6157833,food service
11853329077,Iftar Restaurant,12.9992932,77.6157895,food service
11853338971,Oh! Perch,12.9976512,77.6148873,food service
11853467359,Aroma Of Asia,12.9961086,77.6133755,food service
11853467361,Pizza Hut,12.9956177,77.6136674,food service
11853518234,Cafe Idly,12.9985144,77.6177881,food service
11853525651,Baskin-Robbins,12.9969265,77.6144435,food service
11853576126,HDFC Bank,12.9959985,77.6136694,financial
11853708683,Cane Town,13.0006032,77.6173736,food service
11853708686,Arabian Mataan,13.0005676,77.6177086,food service
11853708687,Indian Overseas Bank,13.0005983,77.6178333,financial
11853708691,Bismillah Biryani Point,12.9998214,77.6183263,food service
11853708699,Thakur Food Point,12.9992128,77.6180914,food service
11853708700,Vishnu's,12.9991979,77.6181065,food service
11853708706,Namma Dosa,12.9986449,77.6179603,food service
11853708707,New Delicacy,12.9985669,77.6179429,food service
11917162002,Canara Bank,12.9962008,77.6173604,financial
11917162003,HDFC Bank,13.0012362,77.6271051,financial
11917222397,Little Ville,13.0082013,77.625755,education
